latitude,longitude,name,category,rating,address,phone,url
24.7830858,46.6516956,L'ami Dave,French restaurant,4.5,"Ar Rabi, Riyadh 13315, Saudi Arabia",+966 11 829 0949,https://www.google.com/maps/place/L%27ami+Dave/data=!4m7!3m6!1s0x3e2ee3128a50fee1:0x504b4a9a4e8d336d!8m2!3d24.7830858!4d46.6516956!16s%2Fg%2F11kbn43_ts!19sChIJ4f5QihLjLj4RbTONTppKS1A?authuser=0&hl=en&rclk=1
24.7527016,46.6249654,Gold Sushi Club,Japanese restaurant,4.7,"4228 Northern Ring Br Rd, Hitteen Dist، Riyadh 13512, Saudi Arabia",+966 11 499 3330,https://www.google.com/maps/place/Gold+Sushi+Club/data=!4m7!3m6!1s0x3e2ee38c5752d67f:0x73d63b2e221a5022!8m2!3d24.7527016!4d46.6249654!16s%2Fg%2F11h001bnbb!19sChIJf9ZSV4zjLj4RIlAaIi471nM?authuser=0&hl=en&rclk=1
24.7009306,46.675922,V Restaurant KSA,Italian restaurant,4.4,"Musa Ibn Nusair St, Al Olaya, Riyadh 12331, Saudi Arabia",+966 53 777 5687,https://www.google.com/maps/place/V+Restaurant+KSA/data=!4m7!3m6!1s0x3e2f03478a0f6d57:0x95d5039e1ccd8208!8m2!3d24.7009306!4d46.675922!16s%2Fg%2F11tg3d7j3c!19sChIJV20PikcDLz4RCILNHJ4D1ZU?authuser=0&hl=en&rclk=1
24.7107782,46.6677711,Saolah Restaurant,Restaurant,4.5,"DISTRICT, 4112 Al Urubah Branch Rd, Ar Rahmaniyyah, THE CUBE CENTER, 2nd Floor, Riyadh 12341, Saudi Arabia",+966 55 599 4085,https://www.google.com/maps/place/Saolah+Restaurant/data=!4m7!3m6!1s0x3e2f1d0041213575:0xfffe6034df33c59a!8m2!3d24.7107782!4d46.6677711!16s%2Fg%2F11w81yq_lp!19sChIJdTUhQQAdLz4RmsUz3zRg_v8?authuser=0&hl=en&rclk=1
24.732127,46.648933,RUHI Indian Cuisine,Indian restaurant,4.3,"The Zone, 7236 Al Takhassousi, Al Mohammadiyyah, Riyadh 12362, Saudi Arabia",+966 50 003 9406,https://www.google.com/maps/place/RUHI+Indian+Cuisine/data=!4m7!3m6!1s0x3e2f1dcc1e1aa3ef:0x7907fa3984a764ee!8m2!3d24.732127!4d46.648933!16s%2Fg%2F11fp1dt47x!19sChIJ76MaHswdLz4R7mSnhDn6B3k?authuser=0&hl=en&rclk=1
24.6898068,46.6851121,The Globe ذا غلوب,European restaurant,4.0,"King Fahd Rd, Al Olaya, Riyadh 11491, Saudi Arabia",+966 11 273 2005,https://www.google.com/maps/place/The+Globe+%D8%B0%D8%A7+%D8%BA%D9%84%D9%88%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x3e2f03474a086b75:0x863dfe17a7a9ebcb!8m2!3d24.6898068!4d46.6851121!16s%2Fg%2F1pyqhc5xn!19sChIJdWsISkcDLz4Ry-uppxf-PYY?authuser=0&hl=en&rclk=1
24.690014,46.6864312,Yauatcha Riyadh,Chinese restaurant,4.7,"Prince Sultan Bin Abdulaziz Rd, Al Olaya, Riyadh 12212, Saudi Arabia",+966 11 836 7999,https://www.google.com/maps/place/Yauatcha+Riyadh/data=!4m7!3m6!1s0x3e2f036f64352a5f:0x8382559aace187e1!8m2!3d24.690014!4d46.6864312!16s%2Fg%2F11fphqlh7j!19sChIJXyo1ZG8DLz4R4YfhrJpVgoM?authuser=0&hl=en&rclk=1
24.7059626,46.7065493,Mekan Lounge By Rüya,Turkish restaurant,4.4,"1224 Prince Muhammad Ibn Abd Al Aziz, As Sulimaniyah, Riyadh 12243, Saudi Arabia",+966 9200 10692,https://www.google.com/maps/place/Mekan+Lounge+By+R%C3%BCya/data=!4m7!3m6!1s0x3e2f038bda0ce6c9:0x4c61371b880a1b7a!8m2!3d24.7059626!4d46.7065493!16s%2Fg%2F11sdtxqlqb!19sChIJyeYM2osDLz4RehsKiBs3YUw?authuser=0&hl=en&rclk=1
24.6916263,46.7018848,Mama Noura,Middle Eastern restaurant,4.3,"prince faisal, As Sulimaniyah, Riyadh 11545, Saudi Arabia",+966 9200 12026,https://www.google.com/maps/place/Mama+Noura/data=!4m7!3m6!1s0x3e2f037183c1a7cf:0xb52edea963ad3463!8m2!3d24.6916263!4d46.7018848!16s%2Fg%2F11h0k3wgg!19sChIJz6fBg3EDLz4RYzStY6neLrU?authuser=0&hl=en&rclk=1
24.7038642,46.7061858,KAYZŌ,Japanese restaurant,4.6,"2752 Prince Musaid bin Abdulaziz bin Jalawi Street, As Sulimaniyah، District، 8273, Riyadh 12234, Saudi Arabia",+966 9200 14156,https://www.google.com/maps/place/KAYZ%C5%8C/data=!4m7!3m6!1s0x3e2f1d198a3103a5:0x45ebc615aacfb737!8m2!3d24.7038642!4d46.7061858!16s%2Fg%2F11n07bk801!19sChIJpQMxihkdLz4RN7fPqhXG60U?authuser=0&hl=en&rclk=1
