District,Name_AR,Villas,Apartments_LandUse,Apartments_CSV,Overlap,Villa_Percentage,Total_Residential
Al Falah Dist.,حي الفلاح,2404,354,94,85,87.2,2758
Ohod Dist.,حي احد,2390,319,48,21,88.2,2709
Al Muruj Dist.,حي المروج,2374,929,58,53,71.9,3303
King Abdullah Dist.,حي الملك عبدالله,2206,107,16,5,95.4,2313
Jareer Dist.,حي جرير,2175,354,49,29,86.0,2529
East Umm Al Hamam Dist.,حي ام الحمام الشرقي,2085,113,53,8,94.9,2198
Al Muhammadiyah Dist.,حي المحمدية,2084,447,55,44,82.3,2531
Al Ghadeer Dist.,حي الغدير,2060,263,35,29,88.7,2323
Al Manar Dist.,حي المنار,2013,991,41,34,67.0,3004
Al Nuzha Dist.,حي النزهة,1988,653,77,71,75.3,2641
Al Farooq Dist.,حي الفاروق,1979,73,23,4,96.4,2052
Al Ezdihar Dist.,حي الازدهار,1972,701,36,33,73.8,2673
Sultanah Dist.,حي سلطانة,1970,271,20,2,87.9,2241
Al Yamamah Dist.,حي اليمامة,1950,283,33,10,87.3,2233
Al Iskan Dist.,حي الاسكان,1912,17,49,0,99.1,1929
Al Fursan Dist.,حي الفرسان,1886,0,2,0,100.0,1886
Ar Rafiah Dist.,حي الرفيعة,1833,87,47,13,95.5,1920
Al Risalah Dist.,حي الرسالة,1833,0,1,0,100.0,1833
Manfuhah Dist.,حي منفوحة,1824,127,83,23,93.5,1951
Al Khalidiyah Dist.,حي الخالدية,1702,526,120,43,76.4,2228
Al Shohda Dist.,حي الشهداء,1645,610,100,84,72.9,2255
Al Wizarat Dist.,حي الوزارات,1591,760,73,57,67.7,2351
Al Oud Dist.,حي العود,1569,136,13,8,92.0,1705
Ar Rahmaniyah Dist.,حي الرحمانية,1542,232,49,26,86.9,1774
North Mathar Dist.,حي المعذر الشمالي,1539,157,30,22,90.7,1696
Al Mursalat Dist.,حي المرسلات,1535,421,47,34,78.5,1956
Ghirnatah Dist.,حي غرناطة,1518,564,56,49,72.9,2082
Ghobairah Dist.,حي غبيرة,1513,246,80,29,86.0,1759
Al Khuzama Dist.,حي الخزامى,1500,2,21,0,99.9,1502
Al Faisaliyah Dist.,حي الفيصلية,1471,406,53,18,78.4,1877
Al Murabba Dist.,حي المربع,1285,553,104,79,69.9,1838
Al Sharafiyah Dist.,حي الشرفية,1226,130,41,18,90.4,1356
Al Hada Dist.,حي الهدا,1223,15,30,3,98.8,1238
Salahuddin Dist.,حي صلاح الدين,1222,142,25,12,89.6,1364
Al Marwah Dist.,حي المروة,1206,301,55,28,80.0,1507
Al Mughrazat Dist.,حي المغرزات,1183,425,56,55,73.6,1608
2nd Industrial City,المدينة الصناعية الثانية,1151,566,90,30,67.0,1717
Al Majd Dist.,حي المجد,1094,0,0,0,100.0,1094
Al Raed Dist.,حي الرائد,1045,192,23,21,84.5,1237
Utayqah Dist.,حي عتيقة,1041,84,39,8,92.5,1125
Al Badiah Dist.,حي البديعة,1033,98,46,13,91.3,1131
Al Jarradiyah Dist.,حي الجرادية,1002,122,52,20,89.1,1124
Al Zahra Dist.,حي الزهراء,994,92,24,13,91.5,1086
Al Duraihemiyah Dist.,حي الدريهمية,986,283,25,21,77.7,1269
King Abdulaziz Dist.,حي الملك عبدالعزيز,890,75,19,7,92.2,965
Al Dhubbat Dist.,حي الضباط,887,136,69,21,86.7,1023
Al Mathar Dist.,حي المعذر,784,40,74,15,95.1,824
Manfuha Al Jadidah Dist.,حي منفوحة الجديدة,743,244,74,16,75.3,987
Al Bariyah Dist.,حي البرية,686,201,11,3,77.3,887
Al Fakhiriyah Dist.,حي الفاخرية,595,55,14,3,91.5,650
Hyt Dist.,حي هيت,508,35,16,0,93.6,543
Al Uraija Dist.,حي العريجاء,478,66,15,6,87.9,544
Al Nasiriyah Dist.,حي الناصرية,433,52,19,2,89.3,485
Al Dirah Dist.,حي الديرة,351,15,37,2,95.9,366
As Salhiyah Dist.,حي الصالحية,350,26,19,1,93.1,376
Al Amal Dist.,حي العمل,341,161,70,36,67.9,502
Al Sinaiyah Dist.,حي الصناعية,340,37,16,2,90.2,377
Al Namudhajiyah Dist.,حي النموذجية,323,77,27,12,80.8,400
Al Mutamarat Dist.,حي المؤتمرات,295,90,12,3,76.6,385
Olaishah Dist.,حي عليشة,289,24,21,4,92.3,313
Thulaim Dist.,حي ثليم,220,25,38,5,89.8,245
Umm Saleem Dist.,حي ام سليم,204,44,24,8,82.3,248
Al Dahou Dist.,حي الدحو,164,8,1,1,95.3,172
Skirinah Dist.,حي سكيرينة,149,5,19,0,96.8,154
Al Shumaisi Dist.,حي الشميسي,144,56,46,7,72.0,200
Siyah Dist.,حي صياح,142,7,5,1,95.3,149
Al Masani Dist.,حي المصانع,124,220,35,2,36.0,344
Al Futah Dist.,حي الفوطة,107,121,40,19,46.9,228
Al Noor Dist.,حي النور,86,112,20,1,43.4,198
Salam Park,منتزه سلام,71,18,0,0,79.8,89
Al Marqab Dist.,حي المرقب,60,10,25,3,85.7,70
Al Wisham Dist.,حي الوشام,52,12,28,0,81.2,64
Meakal Dist.,حي معكال,30,5,1,0,85.7,35
Wady Laban Dist.,حي وادي لبن,25,0,0,0,100.0,25
Mansuriyah Dist.,حي المنصورية,15,0,6,0,100.0,15
Al Dubiyah Dist.,حي الدوبية,9,6,5,0,60.0,15
Al Butaiha Dist.,حي البطيحا,9,2,10,0,81.8,11
Jabrah Dist.,حي جبرة,7,38,11,2,15.6,45
Al Mishael Dist.,حي المشاعل,5,391,31,10,1.3,396
Al Sulay Dist.,حي السلي,2,385,33,1,0.5,387
Al Wusayta Dist.,حي الوسيطاء,2,1,2,0,66.7,3
Al Difaa Dist.,حي الدفاع,0,13,12,0,0.0,13
Al Rimayah Dist.,حي الرماية,0,0,48,0,0.0,0
Assafarat Dist.,حي السفارات,0,0,19,0,0.0,0
Khashm Al An,خشم العان,0,1,23,0,0.0,1
Al Qura Dist.,حي القرى,0,0,0,0,0.0,0
King Khalid International Airport,مطار الملك خالد,0,0,0,0,0.0,0
Imam Muhammed Bin Saud Islamic University,جامعة الامام محمد بن سعود الاسلامية,0,3,24,0,0.0,3
Al Ammajiyah Dist.,حي العماجية,0,0,8,0,0.0,0
Umm Al Shaal Dist.,حي ام الشعال,0,54,1,0,0.0,54
King Saud University,جامعة الملك سعود,0,13,38,0,0.0,13
Al Rabiyah Dist.,حي الرابية,0,0,2,0,0.0,0
Al Sidrah Dist.,حي السدرة,0,0,0,0,0.0,0
King Abdullah City For Energy,مدينة الملك عبدالله للطاقة,0,0,0,0,0.0,0
Al Basatin Dist.,حي البساتين,0,0,0,0,0.0,0
Al Rehab Dist.,حي الرحاب,0,0,0,0,0.0,0
Al Danah Dist.,حي الدانة,0,0,0,0,0.0,0
